,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
115,3919342,光纤交换机中低档,曙光,曙光6505光纤交换机,中国气象局上海台风研究所,2,72410.0,上海盛举信息科技有限公司,2016-06-29,20:14:48,144820.0,2016
116,3916534,光纤交换机中低档,博科,BR-360-0008,上海出入境检验检疫局,2,81350.0,北京优兆科技有限公司,2016-06-12,10:18:30,162700.0,2016
117,3921345,GPU并行运算服务器高档,戴尔,Dell PowerEdge R730,中国科学院上海药物研究所,1,29770.0,萃群实业（上海）有限公司,2016-04-15,09:49:47,29770.0,2016
118,3921348,GPU并行运算服务器中、低档,戴尔,Dell PowerEdge R730,东华大学（原中国纺织大学）,1,23810.0,上海惠衡科技发展有限公司,2016-07-18,14:00:58,23810.0,2016
119,3921348,GPU并行运算服务器中、低档,戴尔,Dell PowerEdge R730,中国科学院上海药物研究所,1,23810.0,上海港讯电子科技有限公司,2016-05-12,14:27:22,23810.0,2016
121,3729871,资产管理,久其政务,行政事业单位资产管理（教育版）,上海交通大学,1,265000.0,北京久其软件股份有限公司,2016-05-11,11:03:09,265000.0,2016
134,3916631,无线网桥,华三（H3C）,H3C EWP-WA4620i-ACN,同济大学,20,4800.0,上海汉澄电子设备有限公司,2016-05-12,10:26:58,96000.0,2016
135,3919053,园区接入交换机（百兆） 中档及以上,华为,S3700-52P-EI-AC,中国科学院上海应用物理研究所,1,9505.0,上海山屹实业有限公司,2016-03-25,16:02:57,9505.0,2016
136,3919053,园区接入交换机（百兆） 中档及以上,华为,S3700-52P-EI-AC,中国科学院上海药物研究所,1,9505.0,上海恒驰信息系统有限公司,2016-03-07,14:41:37,9505.0,2016
137,3918805,中端网络路由器,思科cisco,ASR-903,上海市气象信息与技术支持中心,2,72226.0,上海亚太蓝星计算机信息技术有限公司,2016-01-20,17:02:30,144452.0,2016
138,3921400,一般终端  高端,宝利通（POLYCOM）,Group 550,中华人民共和国上海海事局,1,65400.0,南京南方电讯有限公司,2016-08-02,13:28:30,65400.0,2016
139,3916705,防病毒网关,瑞星,RSW-3320,中华人民共和国杨浦海事局,1,94800.0,上海恒驰信息系统有限公司,2016-05-20,17:06:46,94800.0,2016
140,3723326,杀毒软件,金山,金山企业终端防护优化系统8.0服务器端1年 ,中华人民共和国嘉兴海事局,5,565.0,万宗网络科技（上海）有限公司,2016-05-11,16:19:38,2825.0,2016
141,3723325,杀毒软件,金山,金山企业终端防护优化系统8.0客户端1年,中华人民共和国嘉兴海事局,90,76.0,万宗网络科技（上海）有限公司,2016-05-11,16:19:38,6840.0,2016
142,3723324,杀毒软件,金山,金山企业终端防护优化系统8.0基本包（1系统中心+1服务器端+10客户端）,中华人民共和国嘉兴海事局,1,2980.0,万宗网络科技（上海）有限公司,2016-05-11,16:19:38,2980.0,2016
143,3922678,,富士施乐,P 355 d,中国科学院上海硅酸盐研究所,1,930.0,北京开莱兴业科技有限公司,2016-07-11,17:13:21,930.0,2016
144,3922678,,富士施乐,P 355 d,中国科学院上海硅酸盐研究所,1,930.0,北京开莱兴业科技有限公司,2016-07-06,08:37:35,930.0,2016
145,3922678,,富士施乐,P 355 d,中国科学院上海硅酸盐研究所,1,930.0,北京开莱兴业科技有限公司,2016-07-06,08:37:18,930.0,2016
146,3922678,,富士施乐,P 355 d,中国科学院上海硅酸盐研究所,1,930.0,北京开莱兴业科技有限公司,2016-07-06,08:36:59,930.0,2016
147,3922157,,京瓷,P2135dn,农业部东海区渔政局,1,950.0,上海易颜居网络科技有限公司,2016-05-31,09:08:10,950.0,2016
148,3921938,,兄弟,HL-3170CDW,中国科学院上海有机化学研究所,1,2450.0,上海群立电脑科技有限公司,2016-03-15,13:18:04,2450.0,2016
151,3727162,数据库系统,Oracle（甲骨文）,Oracle Database Standard Edition 50NUP,上海国家会计学院,1,126500.0,中经网数据有限公司,2016-05-03,10:34:18,126500.0,2016
152,3727086,数据库系统,MySQL,MySQL标准版，每服务器1-4CPU 一年（Oracle原厂服务7*24小时）,广州民航职业技术学院,1,13265.0,上海爱可生信息技术股份有限公司,2016-04-25,10:39:30,13265.0,2016
153,3727086,数据库系统,MySQL,MySQL标准版，每服务器1-4CPU 一年（Oracle原厂服务7*24小时）,北京市园林科学研究院,1,13265.0,上海爱可生信息技术股份有限公司,2016-03-14,16:48:08,13265.0,2016
156,3922753,,Lenovo（联想）,ThinkCentre M8600t-D065(DOS),中国科学院上海硅酸盐研究所,1,4750.0,上海群立电脑科技有限公司,2016-05-17,14:18:34,4750.0,2016
157,3922410,电子科技大学高性能计算机,惠普,HP EliteDesk 880 G2 TWR,同济大学,6,6450.0,上海同济科教技术物资有限公司,2016-06-22,17:31:02,38700.0,2016
158,3922144,,DELL（戴尔）,OptiPlex 7040 MD11136,同济大学,2,7180.0,上海同济科教技术物资有限公司,2016-07-18,08:42:02,14360.0,2016
159,3921988,,Lenovo（联想）,ThinkCentre M8600t-D065,同济大学,2,6650.0,上海同济科教技术物资有限公司,2016-05-09,07:58:45,13300.0,2016
160,3921975,,DELL（戴尔）,OptiPlex 9020 MD10194,中国科学院上海硅酸盐研究所,1,7280.0,北京业成达科贸有限公司,2016-03-04,16:52:11,7280.0,2016
161,3922768,,Lenovo（联想）,昭阳E31-8018,中国科学院上海光学精密机械研究所,1,6000.0,北京中佳宏威科技有限公司,2016-05-06,16:45:07,6000.0,2016
162,3922387,,惠普,HP 430G3,农业部东海区渔政局,1,5080.0,上海同济科教技术物资有限公司,2016-05-19,14:26:40,5080.0,2016
163,3922141,,DELL（戴尔）,Latitude E5270 15191,上海财经大学,1,7050.0,上海复旦科教器材服务有限公司,2016-06-16,15:15:31,7050.0,2016
164,3922729,,Lenovo（联想）,昭阳 E40-8002,中国科学技术大学上海研究院（上海中科大量子工程卓越中心）,1,4824.0,上海群立电脑科技有限公司,2016-07-13,15:24:13,4824.0,2016
165,3922767,,Lenovo（联想）,昭阳E41-8016(DOS),同济大学,4,5450.0,上海群立电脑科技有限公司,2016-06-28,10:46:34,21800.0,2016
166,3922739,,Lenovo（联想）,启天M5900-D105（DOS）,中国科学技术大学上海研究院（上海中科大量子工程卓越中心）,1,3490.0,上海群立电脑科技有限公司,2016-07-13,09:56:16,3490.0,2016
167,3922739,,Lenovo（联想）,启天M5900-D105（DOS）,中国科学院上海硅酸盐研究所,1,3490.0,萃群实业（上海）有限公司,2016-07-08,16:13:52,3490.0,2016
168,3922746,,Lenovo（联想）,ThinkCentre M8600t-B064,浙江立德产品技术有限公司,2,3850.0,上海群立电脑科技有限公司,2016-05-18,11:19:54,7700.0,2016
169,3922399,,惠普,HP 280 Pro G2 MT (Legacy) Business PC,中国科学院上海硅酸盐研究所,1,3500.0,上海同济科教技术物资有限公司,2016-05-13,10:01:19,3500.0,2016
170,3922154,,Acer（宏碁）,TravelMate P248-5016,农业部东海区渔政局,3,6000.0,上海易颜居网络科技有限公司,2016-05-31,09:06:59,18000.0,2016
171,3921983,,Lenovo（联想）,启天M5900-D105,同济大学,6,3990.0,上海同济科教技术物资有限公司,2016-05-13,16:33:45,23940.0,2016
172,3922393,,惠普,HP EliteDesk 880 G2 TWR Business PC,同济大学,4,5400.0,上海同济科教技术物资有限公司,2016-05-17,07:39:37,21600.0,2016
173,3922392,,惠普,HP EliteDesk 880 G2 TWR Business PC,中国科学院上海光学精密机械研究所,3,5800.0,上海同济科教技术物资有限公司,2016-06-28,08:08:36,17400.0,2016
174,3922131,,DELL（戴尔）,OptiPlex 7040 MD11006（WINDOWS）,上海财经大学,4,5900.0,上海同济科教技术物资有限公司,2016-07-15,07:55:59,23600.0,2016
175,3922131,,DELL（戴尔）,OptiPlex 7040 MD11006（WINDOWS）,中国科学院上海光学精密机械研究所,2,5900.0,萃群实业（上海）有限公司,2016-07-13,15:04:12,11800.0,2016
176,3922128,,Lenovo（联想）,E40-8009,中国科学院上海天文台,1,3999.0,上海群立电脑科技有限公司,2016-07-04,15:28:01,3999.0,2016
177,3922128,,Lenovo（联想）,E40-8009,中国科学院上海硅酸盐研究所,1,3999.0,北京众和永业科技发展有限公司,2016-06-14,15:14:00,3999.0,2016
178,3922130,,DELL（戴尔）,OptiPlex 7040 MD11006（DOS）,上海财经大学,1,5400.0,上海中隽电子科技发展有限公司,2016-07-13,14:17:22,5400.0,2016
179,3922134,,DELL（戴尔）,OptiPlex 3240 AIO AB10046,同济大学,1,4980.0,上海同济科教技术物资有限公司,2016-07-01,08:07:27,4980.0,2016
180,3922134,,DELL（戴尔）,OptiPlex 3240 AIO AB10046,同济大学,94,4980.0,上海港讯电子科技有限公司,2016-06-28,17:07:02,468120.0,2016
181,3922134,,DELL（戴尔）,OptiPlex 3240 AIO AB10046,上海交通大学招投标与政府采购办公室,2,4980.0,上海同济科教技术物资有限公司,2016-06-23,09:16:46,9960.0,2016
182,3922019,,清华同方,超翔Z8000-5002,中国科学院上海硅酸盐研究所,1,4500.0,北京浩普诚华科技有限公司,2016-05-10,09:49:23,4500.0,2016
183,3921978,,Lenovo（联想）,ThinkCentre M8600t-D064(DOS),中国科学院上海光学精密机械研究所,1,5498.0,萃群实业（上海）有限公司,2016-05-09,13:59:32,5498.0,2016
184,3921977,,Lenovo（联想）,ThinkCentre M8600t-D064,中国科学院上海高等研究院,4,5998.0,萃群实业（上海）有限公司,2016-05-09,10:46:43,23992.0,2016
185,3922137,国家知识产权局专利局审查台式机配置二, DELL（戴尔）,OptiPlex 7040 MD11006(双屏）,同济大学,5,7450.0,上海同济科教技术物资有限公司,2016-06-03,08:42:51,37250.0,2016
186,3922137,国家知识产权局专利局审查台式机配置二, DELL（戴尔）,OptiPlex 7040 MD11006(双屏）,同济大学,1,7450.0,上海同济科教技术物资有限公司,2016-06-03,08:40:33,7450.0,2016
